key,zh_CN,en_US,zh_TW
i18n_0599,- 在场景中创建按钮,-Create buttons in the scene,-在場景中創建按鈕
i18n_0626,- 点击按钮进行测试,-Click the button to test,-點擊按鈕進行測試
i18n_0645,- 绑定按钮点击事件到对应方法,-Bind button click event to corresponding method,-綁定按鈕點擊事件到對應方法
i18n_0605,1. testSelectAnyFile() - 选择任意文件,1. testSelectAnyFile() - Select any file,1. testSelectAnyFile（）-選擇任意檔案
i18n_0001,1个按钮,1 button,1個按鈕
i18n_0002,1小时,1 hour,1小時
i18n_0636,2. testSelectImage() - 选择图片,2. testSelectImage() - Select Image,2. testSelectImage（）-選擇圖片
i18n_0578,3. testSelectImageBase64() - 选择图片转Base64,3. testSelectImageBase64() - Select image to Base64,3. testSelectImageBase64（）-選擇圖片轉Base64
i18n_0632,4. testSelectTextFile() - 选择文本文件,4. testSelectTextFile() - Select a text file,4. testSelectTextFile（）-選擇文字檔
i18n_0003,404错误,404 Error,404錯誤
i18n_0604,5. testSelectPNG() - 仅选择PNG图片,5. testSelectPNg() - Select only PNG images,5. testSelectPNG（）-僅選擇PNG圖片
i18n_0598,6. testPlatformDetection() - 平台检测,6. testPlatformDetection() - Platform Detection,6. testPlatformDetection（）-平臺檢測
i18n_0588,7. clearLog() - 清除日志,7. clearLog() - Clear Log,7. clearLog（）-清除日誌
i18n_0583,======== 文件选择功能测试帮助 ========,========File selection function testing help========,========檔案選擇功能測試幫助========
i18n_0580,======== 测试：仅选择PNG图片 ========,========Test: Select only PNG images========,========測試：僅選擇PNG圖片========
i18n_0616,======== 测试：平台检测 ========,========Testing: Platform detection========,========測試：平臺檢測========
i18n_0643,======== 测试：选择任意文件 ========,========Test: Select any file========,========測試：選擇任意檔案========
i18n_0602,======== 测试：选择图片并转Base64 ========,========Test: Select image and convert to Base64========,========測試：選擇圖片並轉Base64 ========
i18n_0582,FilePickerTest 组件已加载,FilePickerTest component loaded,FilePickerTest組件已加載
i18n_0587,JSB可用: false,JSB available: false,JSB可用：false
i18n_0623,JSB可用: true,JSB available: true,JSB可用：true
i18n_0004,PayPal账号不能为空,PayPal account cannot be empty,PayPal帳號不能為空
i18n_0005,XXXX传奇大奖赛,XXXX Legendary Grand Prix,XXXX傳奇大獎賽
i18n_0611,[FilePickerTest] 日志已清除,[FilePickerTest] log cleared,[FilePickerTest]日誌已清除
